City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
1,Karratha,AU,84.0,clear sky,-20.7377,116.8463,ibis Styles Karratha
2,Naze,JP,79.72,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
3,Castro,BR,64.06,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
4,Hualmay,PE,63.07,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
5,Saint George,US,79.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
6,Butaritari,KI,81.63,clear sky,3.0707,172.7902,Isles Sunset Lodge
7,Pisco,PE,62.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
8,Kutum,SD,73.36,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
9,Mahebourg,MU,70.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
10,Hermanus,ZA,60.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
11,Puerto Ayora,EC,68.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Arraial Do Cabo,BR,70.61,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
15,Atuona,PF,78.51,clear sky,-9.8,-139.0333,Villa Enata
17,Souillac,MU,70.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
18,Mataura,NZ,67.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
19,East London,ZA,63.05,few clouds,-33.0153,27.9116,Tu Casa
20,Flin Flon,CA,58.37,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
21,Busselton,AU,58.05,overcast clouds,-33.65,115.3333,Observatory Guest House
22,Port Alfred,ZA,63.99,clear sky,-33.5906,26.891,The Halyards Hotel
23,Port Lincoln,AU,58.95,few clouds,-34.7333,135.8667,Port Lincoln Hotel
26,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
27,Show Low,US,69.51,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
28,Bluff,NZ,67.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
30,New Bern,US,75.45,clear sky,35.1085,-77.0441,Hampton Inn New Bern
31,Sinnamary,GF,80.46,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
32,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
33,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
35,Tsiroanomandidy,MG,64.08,clear sky,-18.7667,46.0333,Hotel du Bongolave
36,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
40,Hithadhoo,MV,83.41,broken clouds,-0.6,73.0833,Scoop Guest House
41,Auray,FR,60.75,overcast clouds,47.6703,-2.9918,Best Western Auray hotel du Loch
42,Maputo,MZ,70.23,overcast clouds,-25.9653,32.5892,Pestana Rovuma
45,Cape Town,ZA,63.27,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
47,Ntoum,GA,76.77,heavy intensity rain,0.3833,9.7833,Hôtel Santa Barbara
51,Pak Thong Chai,TH,77.25,overcast clouds,14.7226,102.0251,Mulberry House Korat
52,Ranong,TH,75.13,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
53,Portland,US,60.28,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
55,Roald,NO,52.9,overcast clouds,62.5833,6.1333,Flem Cabins
