City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.76,89,40,12.66,scattered clouds
1,Karratha,AU,-20.7377,116.8463,84.0,29,3,15.77,clear sky
2,Naze,JP,28.3667,129.4833,79.72,68,100,15.5,overcast clouds
3,Castro,BR,-24.7911,-50.0119,64.06,96,100,0.54,overcast clouds
4,Hualmay,PE,-11.0964,-77.6139,63.07,86,50,9.6,scattered clouds
5,Saint George,US,37.1041,-113.5841,79.63,35,1,1.01,clear sky
6,Butaritari,KI,3.0707,172.7902,81.63,69,7,14.18,clear sky
7,Pisco,PE,-13.7,-76.2167,62.65,82,0,13.8,clear sky
8,Kutum,SD,14.2,24.6667,73.36,23,100,7.25,overcast clouds
9,Mahebourg,MU,-20.4081,57.7,70.25,88,40,8.05,scattered clouds
10,Hermanus,ZA,-34.4187,19.2345,60.8,88,0,14.74,clear sky
11,Puerto Ayora,EC,-0.7393,-90.3518,68.56,94,87,5.01,overcast clouds
12,Dubai,AE,25.2582,55.3047,85.98,45,0,5.01,clear sky
13,Kagay,PH,6.0088,120.9074,85.41,70,14,5.57,few clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,70.61,86,96,22.48,overcast clouds
15,Atuona,PF,-9.8,-139.0333,78.51,75,4,19.53,clear sky
16,Yellowknife,CA,62.456,-114.3525,38.41,95,90,1.01,light rain
17,Souillac,MU,-20.5167,57.5167,70.36,88,40,8.05,light rain
18,Mataura,NZ,-46.1927,168.8643,67.48,43,100,3.02,overcast clouds
19,East London,ZA,-33.0153,27.9116,63.05,87,18,12.19,few clouds
20,Flin Flon,CA,54.7682,-101.865,58.37,49,100,10.56,overcast clouds
21,Busselton,AU,-33.65,115.3333,58.05,80,100,11.07,overcast clouds
22,Port Alfred,ZA,-33.5906,26.891,63.99,86,7,19.51,clear sky
23,Port Lincoln,AU,-34.7333,135.8667,58.95,45,21,7.54,few clouds
24,Ushuaia,AR,-54.8,-68.3,38.86,100,75,34.52,light rain
25,Thinadhoo,MV,0.5333,72.9333,83.5,73,85,12.24,overcast clouds
26,Geraldton,AU,-28.7667,114.6,55.81,62,0,5.75,clear sky
27,Show Low,US,34.2542,-110.0298,69.51,44,1,12.66,clear sky
28,Bluff,NZ,-46.6,168.3333,67.8,68,98,2.19,overcast clouds
29,Longyearbyen,SJ,78.2186,15.6401,33.64,86,90,9.22,light snow
30,New Bern,US,35.1085,-77.0441,75.45,83,1,4.61,clear sky
31,Sinnamary,GF,5.3833,-52.95,80.46,83,100,8.95,overcast clouds
32,Pitimbu,BR,-7.4706,-34.8086,77.59,82,14,13.96,few clouds
33,Saint-Pierre,RE,-21.3393,55.4781,69.48,73,0,4.61,clear sky
34,Zhuhai,CN,22.2769,113.5678,86.11,79,20,18.41,few clouds
35,Tsiroanomandidy,MG,-18.7667,46.0333,64.08,69,1,2.39,clear sky
36,Saldanha,ZA,-33.0117,17.9442,57.25,67,0,9.28,clear sky
37,Egvekinot,RU,66.3167,-179.1667,26.2,85,100,14.83,overcast clouds
38,Whitehorse,CA,60.7161,-135.0538,41.77,48,75,11.01,broken clouds
39,Dikson,RU,73.5069,80.5464,30.36,77,100,5.95,overcast clouds
40,Hithadhoo,MV,-0.6,73.0833,83.41,74,60,11.56,broken clouds
41,Auray,FR,47.6703,-2.9918,60.75,92,93,4.25,overcast clouds
42,Maputo,MZ,-25.9653,32.5892,70.23,81,100,1.01,overcast clouds
43,Bitkine,TD,11.9801,18.2138,79.65,34,12,2.82,few clouds
44,Saint-Francois,FR,46.4154,3.9054,42.24,96,75,1.14,broken clouds
45,Cape Town,ZA,-33.9258,18.4232,63.27,55,0,1.99,clear sky
46,Markivka,UA,49.5229,39.5705,40.41,43,91,11.05,overcast clouds
47,Ntoum,GA,0.3833,9.7833,76.77,99,100,3.83,heavy intensity rain
48,Punta Arenas,CL,-53.15,-70.9167,44.71,70,20,23.02,few clouds
49,Saskylakh,RU,71.9167,114.0833,23.56,96,100,12.33,light snow
50,Pevek,RU,69.7008,170.3133,26.53,76,100,11.16,overcast clouds
51,Pak Thong Chai,TH,14.7226,102.0251,77.25,90,100,1.99,overcast clouds
52,Ranong,TH,9.9658,98.6348,75.13,92,100,13.71,light rain
53,Portland,US,45.5234,-122.6762,60.28,82,75,1.01,broken clouds
54,Susehri,TR,40.1644,38.0867,42.91,89,6,2.42,clear sky
55,Roald,NO,62.5833,6.1333,52.9,87,90,13.8,overcast clouds
56,Ambilobe,MG,-13.2,49.05,68.16,82,67,2.84,broken clouds
57,Tiksi,RU,71.6872,128.8694,27.82,89,100,10.63,overcast clouds
